Action taken,Cause,"City, County",Emissions estimation method,Event began,Event ended,Physical location,Regulated entity RN number,Regulated entity name,This is based on the,Type(s) of air emissions event,report_id
,"The unauthorized discharge occurred at the coordinates of N32.23'59.22"" W100.51'41.68"" and was caused by grease, products, and paper towels. The blockages were cleared and the main was treated with degreaser.","COLORADO CITY, MITCHELL",,08/13/2017 1:25PM,08/13/2017 2:00PM,"located approximately 1.7 miles east of the intersection of State Highway 163 and FM 1229 in Mitchell County. 101 Mitchell Rd., Colorado City.",RN102182557,CITY OF COLORADO CITY WWTP,FINAL REPORT,WASTEWATER BYPASS,265514
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; Cleared the service line of grease.,"HOUSTON, HARRIS",,08/07/2017,08/07/2017,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265515
,Scheduled for Further Repairs; A work order has been created and pending dispatch for a stoppage mitigation team,"HOUSTON, HARRIS",,08/07/2017,08/07/2017,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265517
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; PER 1525 GTURNER Main line clear cleared service line of grease used jet power left coral the grease tag evidence of private sewer overflow .25oz chlorine mh#n/a made contact with mr. Ortiz 4.05 4.25,"HOUSTON, HARRIS",,08/07/2017,08/07/2017,,RN100217140,ALMEDA SIMS WWTP,FINAL REPORT,WASTEWATER BYPASS,265518
,"Cleared Main Line; Cleaned and Disinfected; Scheduled for Further Repairs; Notified Health Department (COH-DHHS); 1GPM Cleared main line, stoppage cause by heavy grease, used jet power 2, made contact, left coral the grease, recurring problem work order for tv inspection","HOUSTON, HARRIS",,08/07/2017 8:52AM,08/07/2017 12:42PM,,RN100217140,ALMEDA SIMS WWTP,FINAL REPORT,WASTEWATER BYPASS,265520
,"INFLOW AND INFILTRATION DUE TO EXCESSIVE RAINFALL IN THE AREA. APPROXIMATELY 26,700 GALLONS RELEASED.","AMARILLO, RANDALL",,08/10/2017 7:00AM,08/10/2017 5:30PM,3700 SE LOOP 335 AMARILLO RANDALL COUNTY TEXAS,RN101611929,HOLLYWOOD ROAD WWTP,FINAL REPORT,WASTEWATER BYPASS,265521
,"EXCESSIVE RAINFALL CAME THROUGH AND INFLOW AND INFILTRATION CAUSED THE OUTFALL LINE TO THE NORTH TREATMENT PLANT TO BECOME OVERCHARGED AND OVERFLOW INTO AMARILLO CREEK. APPROXIMATELY 54,000 GALLONS RELEASED.","AMARILLO, POTTER",,08/10/2017 8:01AM,08/10/2017 11:00AM,AMARILLO POTTER COUNTY TEXAS,RN100221571,RIVER ROAD WATER RECLAMATION PLANT,FINAL REPORT,WASTEWATER BYPASS,265522
,INFLOW AND INFILTRATION DUE TO EXCESSIVE AMOUNT OF RAINFALL. AMOUNT RELEASED NOT PROVIDED.,"AMARILLO, RANDALL",,08/10/2017 7:00AM,08/10/2017 10:30PM,3700 SE LOOP 335 AMARILLO RANDALL COUNTY TEXAS,RN101611929,HOLLYWOOD ROAD WWTP,FINAL REPORT,WASTEWATER BYPASS,265523
This complaint has been assigned and will be further investigated by an Environmental Investigator.,The TCEQ Tyler Region received a complaint which alleged that the water from a public water supply (PWS) in Cass County was tinted and appeared to have sand in it.,"ATLANTA, CASS",More information will be available upon approval of the investigation report.,06/06/2017,06/10/2017,"2 miles E of Atlanta, at the intersection of CR 4789 and Hwy 77",RN101229185,SPRING VALLEY SUBDIVISION,INITIAL REPORT,,265524
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; PER 1525 GTURNER Main line clear cleared service line of grease used jet power left coral the grease tag evidence of private sewer overflow .25oz chlorine mh#n/a made contact with mr. Ortiz 4.05 4.25,"HOUSTON, HARRIS",,08/07/2017,08/07/2017,,RN100217140,ALMEDA SIMS WWTP,FINAL REPORT,WASTEWATER BYPASS,265525
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; P. HALLET:Main line clear. Cleared service line stoppage caused by tissue. Tag door. Evidence of sanitary sewer overflow used .5 of chlorine. 10:11 --11:06.,"HOUSTON, HARRIS",,08/06/2017,08/06/2017,,RN101612158,FWSD 23 WWTP,FINAL REPORT,WASTEWATER BYPASS,265526
The complaint has been assigned and will be further investigated by an Environmental Investigator.,"The complainant stated that the auto body shop was operating the paint booth without any filters. The complainant also stated the auto body had no enclosed cabinets and also that painting was being conducted in the open air, inside and outside the facility.",", TARRANT",More information will be available upon approval of the investigation report.,06/13/2017 2:26PM,06/14/2017 10:00AM,,RN107834202,BENJAMIN CUSTOM PAINT & BODY,INITIAL REPORT,,265527
The TCEQ Tyler office will continue to monitor the remediation of the spill.,"On August 15, 2017, at 18:47 hours, Mr. Matt Gilbreath, Crew Chief, Lone Star Hazmat, called with a report of a spill. On August 14, 2017, at approximately 19:30 hours, a logging truck lost control and ran off the road. This caused a release an estimated 40 gallons from the saddle tank. The spill occurred on the northbound lane of Highway 315 at the intersection with FM 8027, Long Branch, Rusk County, Texas. The logging truck involved in the accident was owned by: KMJT Logging 1814 East Highway 850 Overton, Texas 75684 Phone (903) 539-0204 POC: Mr. K. Mauldin","LONG BRANCH, PANOLA","On August 16, 2017, at approximately 08:30 hours, the investigator arrived at the location of the spill. The truck involved in the accident had been removed and there were no personnel present. The area impacted by the spill had not been excavated and the diesel fuel did not appear to have impacted waters of the State. On August 15, 2017, the investigator, gave verbal directives to Mr. Matt Gilbreath to submit a written report to the attention of the investigator for this incident, no later than 30 working days from the incident. At a minimum, the report is to describe the details of the discharge or spill, a statement that the discharge or spill response action has been completed, a description of how the response action was conducted, proof of disposal of any contaminated media to an approved facility, and photographs for verification.",08/14/2017 7:30PM,08/14/2017 7:35PM,,RN104036298,GENERIC INCIDENT ZIP CODE 75669,INITIAL REPORT,EMERGENCY RESPONSE,265528
This complaint has been assigned and will be further investigated by an Environmental Investigator.,A complainant is concerned about dust from a facility in Comanche County.,"COMANCHE, COMANCHE",More information will be available upon approval of the investigation report.,08/16/2017 12:00PM,08/24/2017,"150 COUNTY ROAD 152, COMANCHE, COMANCHE COUNTY",RN109453845,ECOLOGY REVOLUTION,INITIAL REPORT,,265530
,Scheduled for Further Repairs; A work order has been created and pending dispatch for a stoppage mitigation team,"HOUSTON, HARRIS",,08/14/2017,08/14/2017,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265532
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; Notified Health Department (COH-DHHS); Spread 3 ounces of chlorine. Tagged door.,"HOUSTON, HARRIS",,08/14/2017,08/14/2017,ON 5565 KIRKPATRICK BLVD,RN101611903,HOMESTEAD WWTP,FINAL REPORT,WASTEWATER BYPASS,265534
,"Cleared Main Line; Cleaned and Disinfected; Scheduled for Further Repairs; Notified Health Department (COH-DHHS); 1GPM Cleared main line, stoppage cause by heavy grease, used jet power 2, made contact, left coral the grease, recurring problem work order for tv inspection","HOUSTON, HARRIS",,08/07/2017 8:52AM,08/07/2017 12:21PM,,RN100217140,ALMEDA SIMS WWTP,FINAL REPORT,WASTEWATER BYPASS,265535
,Chlorinated Excursion; Cleared Private Line; Notified Health Department (COHDHHS); Spread 1 ounce of chlorine. Made customer contact.,"HOUSTON, HARRIS",,08/14/2017,08/14/2017,"3013 Galveston Rd, Houston, TX",RN101612463,SIMS BAYOU WWTP,FINAL REPORT,WASTEWATER BYPASS,265536
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; P. HALLET:Main line clear. Cleared service line stoppage caused by tissue. Tag door. Evidence of sanitary sewer overflow used .5 of chlorine. 10:11 --11:06.,"HOUSTON, HARRIS",,08/06/2017,08/06/2017,,RN101612158,FWSD 23 WWTP,FINAL REPORT,WASTEWATER BYPASS,265537
,Chlorinated Excursion; Cleared Main Line; Cleaned and Disinfected; Spread 6 ounces of chlorine. No one available to make contact with.,"HOUSTON, HARRIS",,07/31/2017 12:18PM,07/31/2017 4:00PM,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265538
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; Spread 1 ounce of chlorine. Made customer contact.,"HOUSTON, HARRIS",,07/31/2017,08/01/2017,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265539
"On August 9, 2017, the investigators visited the complaint site. For more information on this complaint refer to the investigation report.","On August 2, 2017, the TCEQ Tyler Region received a complaint in Bowie County.","TEXARKANA, BOWIE","On August 7, 2017, this complaintm was assigned to Investigators Dale Vodak and Mark Adair of the TCEQ Tyler Region office.",08/09/2017 9:45AM,08/09/2017 11:30AM,,RN108867243,TATUM EXCAVATING,FINAL REPORT,,265540
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected;,"HOUSTON, HARRIS",,07/31/2017,07/31/2017,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265541
WE HAVE A FLARE IN PLACE TO BURN OUR GAS TO MINIMIZE THE VOC AND H2S EMISSIONS.,FLARING IS DUE TO THE COMPRESSOR BEING DOWN DUE TO STORMY WEATHER.,"GOLDSMITH, ECTOR",Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Total Vol Flared (MCF): 800 Volume is: Metered % H2S: 2.98 BTU / Cu Ft: 480.20 % NMNE: 10.68,08/15/2017 5:00PM,08/17/2017 5:00PM,FR GOLDSMITH GO E ON HWY 158 6.2 MI TO N COWDEN RD TURN S ON N COWDEN RD GO 2.6 MI TURN E ON LEASE RD GO 0.5 MI TO LOCATION,RN102421344,NORTH COWDEN CO2 INJECTION FACILITY,INITIAL REPORT,EMISSIONS EVENT,265542
,Presumed corrected by private owner; No information provided on chlorine. Made customer contact.,"HOUSTON, HARRIS",,07/31/2017 10:19AM,07/31/2017 3:04PM,,RN101607596,BELTWAY WWTP,FINAL REPORT,WASTEWATER BYPASS,265543
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; Notified Health Department (COH-DHHS); Spread .5 ounces of chlorine. No one available to make contact with.,"HOUSTON, HARRIS",,07/31/2017 3:46PM,07/31/2017 8:04PM,,RN101607596,BELTWAY WWTP,FINAL REPORT,WASTEWATER BYPASS,265544
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; Notified Health Department (COH-DHHS); Spread .25 ounces of chlorine. Made customer contact.,"HOUSTON, FORT BEND",,07/31/2017,07/31/2017,,RN101607695,GREENRIDGE WWTP,FINAL REPORT,WASTEWATER BYPASS,265545
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; Notified Health Department (COH-DHHS); Spread 1 ounce of chlorine.,"HOUSTON, HARRIS",,07/31/2017 2:55PM,07/31/2017 8:31PM,"3013 Galveston Rd, Houston, TX",RN101612463,SIMS BAYOU WWTP,FINAL REPORT,WASTEWATER BYPASS,265546
,Scheduled for Further Repairs; PENDING DISPATCH TO STOPPAGE MITIGATION TEAM,"HOUSTON, HARRIS",,08/06/2017,08/06/2017,9600 MARTIN LUTHER KING JR BLVD,RN101702595,CHOCOLATE BAYOU WWTP,FINAL REPORT,WASTEWATER BYPASS,265547
,Chlorinated Excursion; Cleared Main Line; Cleaned and Disinfected; SPREAD 2 OUNCES OF CHLORINE,"HOUSTON, FORT BEND",,08/06/2017,08/06/2017,,RN101607695,GREENRIDGE WWTP,FINAL REPORT,WASTEWATER BYPASS,265548
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; SPREAD 2 OUNCES OF CHLORINE,"HOUSTON, HARRIS",,08/13/2017 1:03PM,08/13/2017 4:57PM,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265549
,Scheduled for Further Repairs; PENDING DISPATCH TO STOPPAGE MITIGATION TEAM,"HOUSTON, HARRIS",,08/13/2017 2:15PM,08/13/2017 2:15PM,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265550
FLARING WAS BEING USED TO MINIMIZE EMISSIONS UNTIL CANYON ABLE TO RETURN PLANT TO NORMAL OPERATION.,CANYON POWER ISSUES AT PLANT.,"ANDREWS, ANDREWS","Gas analysis and flowrate were used to estimate emissions based on the following formulas: Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Attachment A - Rule Compliance Demonstration Request This information request was extracted from TCEQ Rule 101 .222(a-b) regarding demonstration criteria. These responses should be addressed under the appropriate sections of the final report for the incident eg; Cause of Emissions Event, Actions Taken to Minimize Emissions, and Any Additional Information Necessary to Evaluate the Event. (1) How many reportable and recordable emissions events (including this incident) have occurred at the facility/facilities contributing emissions during this incident for the 12 month period prior to this incident? 47 (2) What were the facility/facilities total actual operating hours during the past 12 months? 8760 (3) Identify the cause or causes of the emissions event and include all contributing factors that led to the emissions event. Discuss how the emissions event could not have been avoided by good design, maintenance, and operation practices, if applicable. Discuss any sudden breakdown of equipment or process that was beyond the owner/operator's control, if applicable. CANYON POWER ISSUES AT PLANT.FLARING WAS BEING USED TO MINIMIZE EMISSIONS UNTIL CANYON ABLE TO RETURN PLANT TO NORMAL OPERATION.(4) How were the air pollution control equipment or processes (if any) maintained and operated in a manner consistent with good practice for minimizing emissions and reducing the number of emissions events? Flaring was used to minimize emissions. Flares were properly operated. (5) How soon was action taken to achieve compliance once the operator knew or should have known that applicable emission limitations were being exceeded? Once the control panel shut the compressor down gas was immediately routed to the flare (6) How were the amount and duration of the unauthorized emissions and any bypass of pollution control equipment minimized? Emissions were minimized by use of a flare. The flare is the control device, functioned properly, and there was no pollution control equipment bypass. (7) What was the operational status of all emission monitoring systems at the facility/facilities during this emissions event? If any emission monitoring systems were not kept in operation during the emissions event, explain why they weren¿t kept in operation. No monitoring systems are required for this site. Field gas production from this site was diverted to the flare and the flare remained ignited until the pressures dropped below the rated pressures for the equipment at this site. (8) How were the owner or operator's actions in response to the unauthorized emissions contemporaneously documented? The TCEQ STEERS reporting system was used to provide in i tial notice of the event. The emission estimates were calculated by use of the gas flow rate and gas analysis. (9) Have other similar incidents occurred at t his/ t",08/16/2017 3:00PM,08/17/2017 7:00PM,APPROX 8.5M SW OF ANDREWS OFF HWY 385,RN102936655,PENN UNIT ABCD BATTERY ANDRES,FINAL REPORT,EMISSIONS EVENT,265551
"Following the completion of the planned maintenance event, the unit to normal operations.",Unit 871 experienced excess emissions during a planned maintenance event.,"PORT ARTHUR, JEFFERSON",Engineering calculations,08/15/2017 8:45PM,08/16/2017 10:00PM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,265554
FLARING WAS BEING USED TO MINIMIZE EMISSIONS UNTIL CANYON ABLE TO RETURN PLANT TO NORMAL OPERATION.,CANYON POWER DOWN AT BOOSTER AND NOT ABLE TO ACCEPT ALL OUR PRODUCED GAS.,"ANDREWS, ANDREWS","Gas analysis and flowrate were used to estimate emissions based on the following formulas: Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Attachment A - Rule Compliance Demonstration Request This information request was extracted from TCEQ Rule 101 .222(a-b) regarding demonstration criteria. These responses should be addressed under the appropriate sections of the final report for the incident eg; Cause of Emissions Event, Actions Taken to Minimize Emissions, and Any Additional Information Necessary to Evaluate the Event. (1) How many reportable and recordable emissions events (including this incident) have occurred at the facility/facilities contributing emissions during this incident for the 12 month period prior to this incident? ~36 (2) What were the facility/facilities total actual operating hours during the past 12 months? 8760 (3) Identify the cause or causes of the emissions event and include all contributing factors that led to the emissions event. Discuss how the emissions event could not have been avoided by good design, maintenance, and operation practices, if applicable. Discuss any sudden breakdown of equipment or process that was beyond the owner/operator’s control, if applicable.CANYON POWER DOWN AT BOOSTER AND NOT ABLE TO ACCEPT ALL OUR PRODUCED GAS. FLARING IS BEING USED TO MINIMIZE EMISSIONS UNTIL CANYON IS ABLE TO REPAIR THEIR EQUIPMENT AND RETURN THE PLANT TO NORMAL OPERATION. (4) How were the air pollution control equipment or processes (if any) maintained and operated in a manner consistent with good practice for minimizing emissions and reducing the number of emissions events? Flaring was used to minimize emissions. Flares were properly operated. (5) How soon was action taken to achieve compliance once the operator knew or should have known that applicable emission limitations were being exceeded? Once the control panel shut the compressor down gas was immediately routed to the flare (6) How were the amount and duration of the unauthorized emissions and any bypass of pollution control equipment minimized? Emissions were minimized by use of a flare. The flare is the control device, functioned properly, and there was no pollution control equipment bypass. (7) What was the operational status of all emission monitoring systems at the facility/facilities during this emissions event? If any emission monitoring systems were not kept in operation during the emissions event, explain why they weren’t kept in operation. No monitoring systems are required for this site. Field gas production from this site was diverted to the flare and the flare remained ignited until the pressures dropped below the rated pressures for the equipment at this site. (8) How were the owner or operator’s actions in response to the unauthorized emissions contemporaneously documented? The TCEQ STEERS reporting system was used to provide initial notice of the event. The emission estimates were calculated b y use of the gas flow rate a",08/16/2017 3:00PM,08/17/2017 7:00PM,"APPRX 7.5 M S ON HWY 385, RIGHT ON CR APPROX 3.5 M TO SITE ON RIG",RN101954717,UNIVERSITY BLOCK9 CE TANK BATTERY,FINAL REPORT,EMISSIONS EVENT,265555
"The preparation process was stopped once the venting was discovered and the PV was repaired. Several process modifications have been implemented which helped minimize the amount of vapors released to atmosphere. The PSV’s set point was raised, the flow rate through the existing cooler was increased and an additional cooler was installed which together has prevented additional emissions events. Furthermore, the plant is closely monitoring the tank pressure to help prevent future venting and is in the process of formulating a permanent corrective action.","While tank D-4110 was being prepared to support the production of plasticizer in the PX Unit, the tank pressurized and vented VOCs to atmosphere via a pressure safety valve (PSV) due to a faulty pressure valve (PV) and not fully utilizing an existing cooler. The PV allows vapors to exit the tank and enter the low pressure flare header for destruction and the cooler removes excessive heat from 2-ethylhexanol (2-EH) returning to the tank. This is an ongoing incident, however, the emissions have been reduced significantly by the modifications noted below.","PASADENA, HARRIS",Engineering calculations.,07/16/2017 10:23PM,07/18/2017 11:19AM,"LOCATED BETWEEN THE HOUSTON SHIP CHANNEL AND HIGHWAY 225 FEEDER, WESTBOUND NEAR BELTWAY 8. 4403 LaPorte Hwy 225",RN100225689,BASF PASADENA,FINAL REPORT,EMISSIONS EVENT,265559
Producers were contacted to shut in wells in an effort to reduce emissions. The site vented inlet field gas until the power was restored.,Venting occurred due to a third party power outage which caused the site's pressure to increase above the vent valve set point. This forced the automatic shutdown of all units at the site due to high discharge pressure.,"RANKIN, UPTON","Emissions based upon metered gas volume, gas analysis and event duration. Calculations based upon TCEQ guidance document known as RG-109.",08/16/2017 10:38AM,08/16/2017 5:01PM,FROM RANKIN DRIVE 6.9 MI NORTH ON SR 349 TO RR 1555 TURN E AND GO 7 MI TO ACCESS RD WITH CATTLE GUARD ON L TURN N OVER CATTLE GUARD AND GO 0.2 MI TO SITE ON R,RN100217397,RATLIFF BOOSTER STATION,FINAL REPORT,EMISSIONS EVENT,265562
The Emergency Response oversight has been completed. The incident information has been referred to the Air Section for further review.,"On January 19, 2017, at approximately 1037 hours, Mr. William Vanderbrink, with Houston Refining, called with an initial notification of an air release. On Januray 19, 2017, an unknown amount of sulfur dioxide, were released at 1200 Lawndale Street, Houston, Texas 77017.","HOUSTON, HARRIS",,01/19/2017 9:50AM,01/19/2017 1:18PM,2 MILES EAST OF THE 610 / 225 INTERSECTION. 12000 LAWNDALE ST KEY MAP - 536E,RN100218130,HOUSTON REFINING,INITIAL REPORT,EMERGENCY RESPONSE,265563
This complaint has been assigned to an environmental investigator and will be investigated further.,"On 06/17/2017, the City of Dallas' Air Quality Compliance Program received a burning compliant in the 75241 zip code.","DALLAS, DALLAS",More information will be available upon approval of the investigation report.,06/21/2017 3:30PM,06/27/2017 2:00PM,,RN109873158,WARREN RESIDENCE,INITIAL REPORT,,265565
Corrective actions were taken to reduce sulfur content to minimize emissions.,Intermittent flaring resulting in potential excess SO2 emissions. Cause is unknown at this time.,"BAYTOWN, HARRIS","Portions of the unit emissions are authorized under BTRF Permit #18287/PSD-TX-730M4/PAL7. Basis for emission estimates include analyzer data, flow meters, process and engineering data, and AP 42 factors. This event has ended. There is no impact to production. We expect to meet our contractual commitments.",08/15/2017 1:00PM,08/19/2017 4:30PM,,RN102579307,EXXON MOBIL BAYTOWN REFINERY,FINAL REPORT,EMISSIONS EVENT,265567
,"Domestic Sewer. Spill Contained, Overflow Vacuumed, Overflow Stopped, Area Disinfected, and Blockage Cleared Monthly Summary Report received 8/11/17","CORPUS CHRISTI, NUECES",,07/08/2017 6:00PM,07/08/2017 6:10PM,,RN101610186,NEW BROADWAY PLANT,FINAL REPORT,WASTEWATER BYPASS,265574
,"Domestic Sewer. Main Jetted, Spill Contained, Overflow Vacuumed, Overflow Stopped, Area Disinfected, and repaired Monthly Summary Report received 8/11/17","CORPUS CHRISTI, NUECES",,07/21/2017 10:00AM,07/21/2017 11:30AM,,RN101610327,OSO FACILITY,FINAL REPORT,WASTEWATER BYPASS,265575
"Actions taken in response to the spill were reported to include excavating the impacted land. The Fire Department and DPS responded to the scene, and Masters ARS has been hired to remediate the impacted area.","On August 3, 2017, at 1920 hours, Ms. Stacy Hartsell with Clements Fluids reported a spill of 80 barrells of calcium chloride from a tractor trailer located at Highway 96, 5 miles north of San Augustine, San Augustine (San Augustine County), Texas. The reported cause of spill was a tractor trailer rollover. The spill occurred on August 3, 2017, at 1515 hours and impacted land.","SAN AUGUSTINE, SAN AUGUSTINE","On August 3, 2017, Mr. Adam Brum, Texas Commission on Environmental Quality (TCEQ) Region 10 Emergency Response (ER) Investigator, received notification from Chemtel (Report 20172357).",08/03/2017,08/03/2017,,RN104037684,GENERIC INCIDENT ZIP CODE 75972,INITIAL REPORT,EMERGENCY RESPONSE,265576
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; SPREAD 2 OUNCES OF CHLORINE,"HOUSTON, HARRIS",,08/13/2017 1:01PM,08/13/2017 4:49PM,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265577
Shut down finish mill system and repaired leaks.,Leaks in material transfer system.,"SAN ANTONIO, BEXAR",Method nine performed at 10:05 am.,08/16/2017 10:05AM,08/16/2017 2:05PM,3 MI N OF LOOP 410 ON NACOGDOCHES RD,RN100211507,CAPITOL CEMENT PLANT,INITIAL REPORT,EMISSIONS EVENT,265578
,"Domestic Sewer. Main Jetted, Spill Contained, Overflow Vacuumed, Overflow Stopped, Area Disinfected, and Blockage Cleared Monthly Summary Report received 8/11/17",", NUECES",,07/24/2017 1:15PM,07/24/2017 1:55PM,6500 BLOCK OF GREENWOOD DRIVE CORPUS CHRISTI TEXAS,RN101610400,GREENWOOD PLANT,FINAL REPORT,WASTEWATER BYPASS,265579
