Action taken,Cause,"City, County",Emissions estimation method,Event began,Event ended,Physical location,Regulated entity RN number,Regulated entity name,This is based on the,Type(s) of air emissions event,report_id
Operations personnel took immediate actions to stabilize the unit and reduce flaring.,"Due to hydrate formation, the debutanizer overhead system pressured up causing the pressure relief valve to lift and release to the flare. Hydrate formed due to decreased glycol flow to the debutanizer overhead. It was determined that the pressure safety valve on the discharge of the glycol pump failed thereby relieving glycol back to the glycol supply tank.","PORT ARTHUR, JEFFERSON",Process engineering calculations.,12/31/2014 9:00PM,01/01/2015 8:30AM,,RN100209451,PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,207971
Emergency shutdown interlocks activated. Safety interlocks activated and unit shut down immediately to protect equipment and personnel.,"The Bafco system is integral to the operation of the AB3 low density polyethylene unit. The Bafco system experienced a hydraulic failure as a result of a failed hose connection. This caused the unit to shut down, which caused the reactor vents to open to the atmosphere.","LA PORTE, HARRIS",Engineering calculations and process knowledge.,01/01/2015 7:23PM,01/01/2015 8:08PM,APPROXIMATELY 1 MILE NORTH OF HIGHWAY 225 ON MILLER CUT OFF RD,RN100210319,EQUISTAR CHEMICALS LA PORTE COMPLEX,FINAL REPORT,EMISSIONS EVENT,207992
"Enterprise recovered as much hydrocarbon as possible from process vessels, piping, and storage tanks prior to clearing these elements with nitrogen to the flare. The flare was maintained and operated to ensure good combustion of the remaining hydrocarbons.",Enterprise conducted scheduled maintenance in the BEF unit.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ approved flare methodologies.",01/09/2015 11:00PM,01/23/2015 1:00PM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,MAINTENANCE,207995
"Personnel responded as quickly as possible to address the upset through established procedures to minimize potential impacts. Flaring ceased when K-1300 was brought back online, after repairs were made.","At Fluid Catalytic Cracking Unit (FCCU-1241), a maintenance contractor accidentally damaged some wires in an electrical conduit to the lube oil skid for K-1300 Wet Gas Compressor (WGC) while attempting to access other equipment in the area. The resulting wire damage led to an electrical short, which caused a safety trip of K-1300.","PORT ARTHUR, JEFFERSON","Flaring emissions were calculated using flare gas flow meters, process engineering knowledge, flared gas laboratory analysis, and establishedagency emission factors.",01/02/2015 12:59PM,01/02/2015 6:25PM,"1801 S GULFWAY DR, PORT ARTHUR, TX",RN102584026,VALERO PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,207996
Refinery personnel responded as quickly as possible to mitigate the flaring by following established procedures. Production was curtailed tominimize impacts. The automatic shutdown of HCU-942 was completed.,"At Hydrocracking Unit 942 (HCU-942), Recycle Hydrogen Compressor K-2100 tripped due to a drop of lubrication oil pressure, resulting in a high rate depressure to flare and shutdown of HCU942. During the shutdown of HCU-942, hydrocarbons were carried over to and upset the amine treatment system, resulting in excess emissions from Sulfur Recovery Unit 545 (SRU-545). The amine system upset also caused excess emissions from several refinery fuel gas combustion devices due to elevated H2S in refinery fuel gas.","PORT ARTHUR, JEFFERSON","Flaring emissions were calculated using flare gas flow meters, historical laboratory analysis, and established agency emission factors.",01/02/2015 7:20PM,01/02/2015 11:50PM,"1801 S GULFWAY DR, PORT ARTHUR, TX",RN102584026,VALERO PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,208007
Implemented steam shedding procedures. Steam was restored to the refinery as soon as possible.,"Steam generating unit experienced an upset resulting in process gases being diverted to the flare gas recovery system, which capacity was exceeded, and resulted in excess emissions. This upset was sudden, unexpected, and could not have been avoided. An investigation is underway, with result available, upon request, when completed. NOTE: THIS STEERS 208009 (1/2/2015) AND THE FOLLOWING STEERS 208010 (1/3/2015) ARE BEING INVESTIGATED AS A CONTIGUOUS EVENT WITH RESULTS AVAILABLE, UPON REQUEST, WHEN COMPLETED.","PORT ARTHUR, JEFFERSON",Engineering Calculations and AIMS.,01/02/2015 10:50PM,01/02/2015 11:50PM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,208009
"The refinery took actions to reduce steam consuption at unit 860, reducing the steam to the coke drum.","Total Port Arthur Refinery is equipped with a Flare Gas Recovery System (FGRS) that serves to reduce flaring emissions. Due to an upset at Unit 860, the FGRS was oversupplied with process gases, resulting in excess emissions. This event was sudden, unexpected and could not be avoided. A formal investigation is underway with results available, upon request, when completed.NOTE: THIS STEERS 208010 (1/3/15)AND THE PREVIOUS STEERS 208009 (1/2/15) ARE BEING INVESTIGATED AS A CONTIGUOUS EVENT.","PORT ARTHUR, JEFFERSON",Engineering Calculations and AIMS.,01/03/2015 1:27AM,01/03/2015 3:27AM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,208010
Started backup pump and reduced rates to stabilize the unit and minimize emissions.,Ethylene product pump tripped due to lightning strike and resulted in safe utilization of the flare system.,"BAYTOWN, HARRIS","Portions of the unit emissions are authorized under Permit #3452/PSD-TX-302M2. Process and engineering knowledge, flow meters and analyzers were used to estimate emissions. VOC is represented as C5+. This event has ended. There is minimal impact to production. We expect to meet our contractual commitments.",01/03/2015 3:15AM,01/03/2015 7:00AM,,RN102212925,EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,FINAL REPORT,EMISSIONS EVENT,208014
Operations immediately depressurized equipment to stop the release from the PSV and rupture disc.,"During start-up of the Line 1 reactor, PSV-109A and rupture disc PSE-105 on the high pressure separator (V-125) relieved to atmosphere.","BAYTOWN, HARRIS",Engineering estimates.,01/03/2015 10:32AM,01/03/2015 10:33AM,,RN103919817,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,FINAL REPORT,EMISSIONS EVENT,208034
The unit was quickly returned to stable environmental conditions.,Catalyst carryover caused by process instability at the FCC unit.,"PASADENA, HARRIS",Emission quantities are based on CEMS data and best engineering estimates.,01/05/2015 4:37AM,01/05/2015 5:16AM,111 RED BLUFF RD,RN100716661,PASADENA REFINING SYSTEM,FINAL REPORT,EMISSIONS EVENT,208095
The safety valve was isolated.,Premature safety valve lift resulted in a safe utilization of the flare system.,"BAYTOWN, HARRIS","Portions of the unit emissions are authorized by Permit #18287/PSD-TX-730M4/PAL7. Basis for emission estimates includes process and engineering knowledge, analyzer data, and flow meters. VOCs represent a mixture of C5+. There is no impact to production. This event has ended.",01/05/2015 4:15AM,01/05/2015 12:08PM,,RN102579307,EXXON MOBIL BAYTOWN REFINERY,FINAL REPORT,EMISSIONS EVENT,208096
"Refinery personnel responded as quickly as possible to mitigate the flaring by following established procedures.Operators commenced an investigation into the source of flaring emissions; once discovered, C-1221 was cleared of waxy particulate matter by using steam to clear the tube, allowing the PSV at HLPS D-1220 to-reseat and for flaring to cease.","At Hydrocracking Unit 942 (HCU-942), Cooler C-1221 unexpectedly became plugged with particulate matter during the unplanned shutdown on January 2, 2015,as reported earlier as STEERS ID 208007. While re-starting the unit, the pluggage caused a process safety valve (PSV) at the Hot Low-Pressure Separator Drum (HLPS D-1220) to relieve to flare. Waxy hydrocarbons are a known component in the process at C-1221. The flow velocity and temperature through this equipment are typically sufficient to prevent development of particulate matter that would cause the pluggage during normal operations and planned shutdowns and startups. At D-1220, an unusually low inlet temperature and a high pressure drop across the drum confirmed that particulate matter pluggage was present in the cooler tubes at C-1221. This emissions event would not have occurred without STEERS ID 208007.","PORT ARTHUR, JEFFERSON","Flaring emissions were calculated using flare gas flow meters, historical laboratory analysis, and established agency emission factors.",01/05/2015 7:00PM,01/06/2015 7:48AM,"1801 S GULFWAY DR, PORT ARTHUR, TX",RN102584026,VALERO PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,208135
Valves were closed to stop the flow to the bleeder valve. An internal investigation has been initiated to determine contributing causes.,"A 3/4"" bleeder valve released ethylene oxide and water to the environment.","PORT NECHES, JEFFERSON",Engineering estimates/calculations were used to determine the initial quantity released to the environment.,01/05/2015 5:19PM,01/05/2015 5:35PM,,RN100219252,HUNTSMAN PORT NECHES,FINAL REPORT,EMISSIONS EVENT,208143
"Refinery personnel responded as quickly as possible to mitigate the flaring by following established procedures.To prepare for a potential compressor trip, affected process equipment was placed in temporary bypass prior to the optimization to minimize impacts. The resulting low rate depressure resulted in less emissions to the flares.Flaring ceased when operations personnel re-started K-2100.","At Hydrocracking Unit 942 (HCU-942), Recycle Hydrogen Compressor K-2100 tripped due to a drop of lubrication oil pressure, resulting in a low rate depressure to flare while troubleshooting the trip that occurred on January 2nd. The trip occurred while operations personnel were optimizing the compressor’s lubrication oil system. This was being done to investigate issues discovered during an unplanned shutdown on January 2, 2015, earlier as STEERS ID 208007.This emissions event would not have occurred without STEERS ID 208007.","PORT ARTHUR, JEFFERSON","Flaring emissions were calculated using flare gas flow meters, historical laboratory analysis, and established agency emission factors.",01/06/2015 1:09PM,01/06/2015 1:14PM,"1801 S GULFWAY DR, PORT ARTHUR, TX",RN102584026,VALERO PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,208163
Unit opacity values decreased below permit levels shortly after.,The FCC Unit 1 experienced equipment malfunction exceeding the reportable quantity for opacity. The incident is currently under investigation to determine the cause of the event.,"CORPUS CHRISTI, NUECES",Process data and professional judgment.,01/08/2015 4:30AM,01/08/2015 5:00AM,1802 NUECES BAY BLVD CORPUS CHRISTI TX,RN102555166,CITGO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,208273
System pressure was reduced.,An increase in pressure caused Pressure Safety Valve-151 to lift.,"FREEPORT, BRAZORIA",Engineering calculations.,01/08/2015 8:58AM,01/08/2015 9:01AM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,EMISSIONS EVENT,208279
"Refinery personnel responded as quickly as possible to mitigate the flaring by following established procedures. Production was curtailed to minimize impacts. Flaring ceased when the automatic shutdown of HCU-943 was completed. The electrical transformer was sent to a third party to determine the cause of the internal insulation failure.HCU-943 returned to normal steady-state operations January 14, 2015.","At Hydrocracking Unit 943 (HCU-943), an electrical transformer experienced a ground fault due to internal insulation failure at the control panel for Makeup Compressor K-2A, causing the circuit breaker to trip. Makeup Compressor K-2A tripped offline as a result, leading to a high-rate depressure to flare and shutdown of HCU-943.","PORT ARTHUR, JEFFERSON","Flaring emissions were calculated using flare gas flow meters, historical laboratory analysis, and established agency emission factors.",01/10/2015 6:06AM,01/10/2015 6:54PM,"1801 S GULFWAY DR, PORT ARTHUR, TX",RN102584026,VALERO PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,208331
The leak was stopped when pressure was reduced on the DIB column and a new valve assembly was installed and closed,"On January 13, 2014 at approximately 9:00 hrs during maintenance on a thermowell on the DIB Column overhead line, the 3/4"" housing was screwed out resulting in an emission event. The leak was stopped when pressure was reduced on the DIB column and a new valve assembly was installed and closed. Based on the information known at the time of this initial report, Shell is not aware of any confirming information that would indicate that the affirmative defense criteria could not be met for this emission event(activity). However, because the investigation of the emission event (or activity) has not yet been completed, Shell's ""Yes"" response to the affirmative defense question below may not represent a final response for determining application of the affirmative defense. The indicated response to the question was required for purposes of completing and submitting this initial report in a timely manner. Additional information regarding the basis for Shell's response to the affirmative defense question will be provided upon request when available.","DEER PARK, HARRIS",The emission quantities associated with this emission event were based on engineering estimates and process knowledge.,01/13/2015 9:00AM,01/13/2015 11:45AM,,RN100211879,SHELL OIL DEER PARK,FINAL REPORT,EMISSIONS EVENT,208508
FPC-TX EHS notified immediately and alarm sounded. Contacted NRC.,"Process Gas Compressor (PGC) trip.To satisfy the demonstration requirements of 30TAC 101.222(b), FPC-TX provides the following. (1)The owner or operator complied with the requirements of §101.201 of this title (relating to Emissions Event Reporting and Recordkeeping Requirements). (2) The unauthorized emissions were not caused by a sudden, unavoidable breakdown of equipment or process, beyond the control of the owner or operator. (3)FPC-TX contends that the shutdown could not have been foreseen and avoided or planned for, and could not have been avoided by better operation and maintenance practices or technically feasible design consistent with good engineering practice. (4)Air pollution control equipment was maintained and operated in a manner consistent with good practice for minimizing emissions and reducing the number of emissions events. (5)Prompt action was taken to achieve compliance once the operator knew or should have known that applicable emission limitations were being exceeded, and any necessary repairs were made as expeditiously as practicable. (6) FPC-TX took all possible steps to minimize the amount and duration of the unauthorized emissions. There were no bypasses of pollution control equipment. (7)All emission monitoring systems were kept in operation. (8)FPC-TX actions in response to the unauthorized emissions were documented by contemporaneous operation logs or other relevant evidence. (9)The unauthorized emissions were not part of a frequent or recurring pattern indicative of inadequate design, operation, or maintenance. (10)The percentage of a facility's total annual operating hours during which unauthorized emissions occurred was not unreasonably high. (11)The unauthorized emissions did not cause or contribute to an exceedance of the national ambient air quality standards (NAAQS), prevention of significant deterioration (PSD) increments, or to a condition of air pollution.","POINT COMFORT, CALHOUN",Engineering Calculations.,01/13/2015 7:56PM,01/14/2015 8:00AM,PLANT LOCATED NE OF INTX OF FM 1593 AND HWY 35,RN100218973,FORMOSA POINT COMFORT PLANT,FINAL REPORT,EMISSIONS EVENT,208518
"Upon discovery, the fuel gas valve was isolated. The flare was maintained and operated to ensure good combustion of the remaining hydrocarbons.",A methane fuel gas valve vented to the South Plant Flare resulting in an emissions event.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ approved flare methodologies.",01/15/2015 11:08PM,01/17/2015 4:00AM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,EMISSIONS EVENT,208823
"The refinery implemented a sulfur shed during the investigation, shifting acid gas load to SRU-543, SRU-544, and SRU-545. Sour Water Stripper (SWS) 8748 was placed on circulation. The internal reboiler leaks were repaired at T-9503; after which, operations returned SRU-546 to normal, steady-state operations at approx. 4:55 PM on 1/23/2015.","At Sulfur Recovery Unit 546 (SRU-546), leaks developed within the T-9503 reboiler. SRU-546 conducted a planned shutdown to make repairs on 1/16/2015 at approximately 1 PM.","PORT ARTHUR, JEFFERSON","Emissions were estimated using CEMS, flow meters, and established agency emission factors.",01/17/2015 9:00AM,01/18/2015,"1801 S GULFWAY DR, PORT ARTHUR, TX",RN102584026,VALERO PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,208834
This start was performed according to the start up procedures at our facility. Vent gases were routed to elevated flare (EPN 1067) for destruction prior to emitting to the atmosphere.,Start up after shutdown of the unit. MSS VOC emissions exceeded the pounds/hour authorization for EPN 1067.,"POINT COMFORT, CALHOUN",Engineering Calculations.,01/20/2015 8:50AM,01/20/2015 8:00PM,PLANT LOCATED NE OF INTX OF FM 1593 AND HWY 35,RN100218973,FORMOSA POINT COMFORT PLANT,FINAL REPORT,AIR STARTUP,208841
Spalling time was kept to a minimum based on acceptable expander vibration levels. Air flow through the unit was optimized to keep heater lit while minimizing fines flow through the stack. The unit has been shut down to determine the source of vibration.,Excess vibration within the expander fan has prompted spalling of the unit to balance out the fan blades. Opacity levels spiked during the spalling resulting in a reportable quantity of opacity measured in the regenerator stack. This spall was conducted without the ESP in operation due to known safety issues from spalling with an ESP energized.,"CORPUS CHRISTI, NUECES",Process data and professional judgment. Opacity readings were taken from the unit stack opacity analyzer. Opacity ranged from 20% - 94% during the spalling activities.,01/20/2015 8:30AM,01/21/2015 9:13AM,1802 NUECES BAY BLVD CORPUS CHRISTI TX,RN102555166,CITGO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,208921
Direct gas to flare destruction,PSA Compressor taken off line to perform maintenance on electric controllers,"CORPUS CHRISTI, NUECES","Flare flow meter, flare gas chromatograph, and flare calorimeter.",01/21/2015 9:00AM,01/21/2015 5:25PM,,RN102190139,JAVELINA GAS PROCESSING FACILITY,FINAL REPORT,MAINTENANCE,209015
Spalling time was kept to a minimum based on acceptable expander vibration levels. Air flow through the unit was optimized to keep heater lit while minimizing fines flow through the stack. The unit has been shut down to determine the source of vibration.,Excess vibration within the expander fan has prompted spalling of the unit to balance out the fan blades. Opacity levels spiked during the spalling resulting in a reportable quantity of opacity measured in the regenerator stack. This and the previous spalls were conducted without the ESP in operation due to known safety issues from spalling with an ESP energized.,"CORPUS CHRISTI, NUECES",Process data and professional judgment. Opacity readings were taken from the unit stack opacity analyzer. Opacity ranged from 29% - 95% during the spalling activities.,01/21/2015 1:54PM,01/24/2015 12:30PM,1802 NUECES BAY BLVD CORPUS CHRISTI TX,RN102555166,CITGO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,209057
Operating personnel restarted the Wet Gas Compressor after ensuring that electrical conditions for proper operation were met. Flow to the flare ended when all WGC and system restart conditions were achieved.,"The Wet Gas Compressor(C-31501) tripped offline due to electrical conditions and caused flaring at the Coker flare. The cause of this event is still under investigation. Total emissions from the Coker Flare from the event are as follows: CO: 2130 lbs; SO2: 100297 lbs; H2S: 1087 lbs; Ethylene: 45 lbs; Propane: 408 lbs; Propylene: 149 lbs; 1,3 Butadiene: 4 lbs; Butene: 111 lbs ;Isobetene: 111 lbs; T-2-Butene: 57 lbs; C-2-Butene: 40 lbs; Isobutane: 102 lbs; Butane: 450 lbs; C5+: 1687 lbs; NO: 277 lbs; NO2: 22 lbs; Ethane 487 lbs; Methane 690 lbs. Based on the information known at the time of this report, Shell is not aware of any confirming information that would indicate that the affirmative defense criteria could not be met for this emission event. However, because the investigation of the emission event has not yet been completed, Shell's ""Yes"" response to the affirmative defense question below may not represent a final response for determining application of the affirmative defense. The indicated response to the question was required for purposes of completing and submitting this initial report in a timely manner. Additional information regarding the basis for Shell's response to the affirmative defense question may be provided upon request when available.","DEER PARK, HARRIS","The basis used to determine the quantities necessary to evaluate the event were: process instrumentation(analyzers, flow-meters, and calorimeters) and engineering calculations.",01/22/2015 1:00PM,01/22/2015 7:00PM,,RN100211879,SHELL OIL DEER PARK,FINAL REPORT,EMISSIONS EVENT,209075
UNIT 860 returned to normal operations.,"Total Port Arthur Refinery is equipped with a Flare Gas Recovery Unit (FGRU) that serves to reduce flaring emissions. Due to overpressuring in UNIT 860, the FGRU was over supplied with process gases, resulting in diverting gases to the flare system. An investigation is underway of this incident with results available, upon request, when completed","PORT ARTHUR, JEFFERSON",Engineering Estimates.,01/25/2015 2:00AM,01/25/2015 6:00AM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,209182
UNIT 812 returned to normal operating conditions.,"Total Port Arthur Refinery is equipped with a Flare Gas Recovery Unit (FGRU) that serves to reduce flare emissions. Due to overpressuring in UNIT 812, the FGRU was over supplied with process gases, resulting in diverting gases to the flare system. An investigation of the incident is underway with results available, upon request, when completed.","PORT ARTHUR, JEFFERSON",Engineering Calculations,01/25/2015 11:00AM,01/25/2015 4:00PM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,209188
The facility took immediate corrective actions to stop the loss of containment and minimize any air and groundwater impacts.,The Port Arthur Refinery experienced a loss of primary containment to the ground due a hose failure from a portable diesel pump conveying oily material.,"PORT ARTHUR, JEFFERSON","Process engineering calculation based on spill quantity,",01/25/2015 5:40PM,01/26/2015 5:40PM,,RN100209451,PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,209192
UNIT 819 shut down at 2200 hrs on 1/26/2015,THIS IS A NON-REPORTABLE EVENT (1900 HRS TIL 2200 HRS ON 1/26/2015.Note: Hours 0900 hrs till 1900 hrs this is a MSS eventHours 1900 hrs till 2200 hrs this is a non-reportable emission event.,"PORT ARTHUR, JEFFERSON",Engineering Estimates.,01/26/2015 9:00AM,01/26/2015 10:00PM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,209260
